antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'yellowing_of_eyes'}),frozenset({'loss_of_appetite'}),0.17073170731707318,0.24390243902439024,0.17073170731707318,1.0,4.1000000000000005,1.0,0.1290898274836407,inf,0.911764705882353,0.7,1.0,0.8500000000000001
"frozenset({'stomach_pain', 'dark_urine', 'nausea'})","frozenset({'yellowing_of_eyes', 'yellowish_skin', 'joint_pain', 'loss_of_appetite'})",0.07317073170731707,0.07317073170731707,0.07317073170731707,1.0,13.666666666666668,1.0,0.06781677572873289,inf,0.9999999999999998,1.0,1.0,1.0
"frozenset({'dark_urine', 'loss_of_appetite', 'nausea'})","frozenset({'yellowing_of_eyes', 'yellowish_skin', 'joint_pain', 'stomach_pain'})",0.07317073170731707,0.07317073170731707,0.07317073170731707,1.0,13.666666666666668,1.0,0.06781677572873289,inf,0.9999999999999998,1.0,1.0,1.0
"frozenset({'joint_pain', 'loss_of_appetite', 'stomach_pain'})","frozenset({'yellowing_of_eyes', 'yellowish_skin', 'dark_urine', 'nausea'})",0.07317073170731707,0.07317073170731707,0.07317073170731707,1.0,13.666666666666668,1.0,0.06781677572873289,inf,0.9999999999999998,1.0,1.0,1.0
"frozenset({'dark_urine', 'joint_pain', 'stomach_pain'})","frozenset({'yellowing_of_eyes', 'yellowish_skin', 'loss_of_appetite', 'nausea'})",0.07317073170731707,0.12195121951219512,0.07317073170731707,1.0,8.200000000000001,1.0,0.06424747174301011,inf,0.9473684210526315,0.5999999999999999,1.0,0.8
"frozenset({'dark_urine', 'joint_pain', 'loss_of_appetite'})","frozenset({'yellowing_of_eyes', 'yellowish_skin', 'stomach_pain', 'nausea'})",0.07317073170731707,0.0975609756097561,0.07317073170731707,1.0,10.25,1.0,0.0660321237358715,inf,0.9736842105263156,0.75,1.0,0.875
"frozenset({'stomach_pain', 'joint_pain', 'nausea'})","frozenset({'yellowing_of_eyes', 'yellowish_skin', 'dark_urine', 'loss_of_appetite'})",0.07317073170731707,0.0975609756097561,0.07317073170731707,1.0,10.25,1.0,0.0660321237358715,inf,0.9736842105263156,0.75,1.0,0.875
"frozenset({'dark_urine', 'joint_pain', 'nausea'})","frozenset({'yellowing_of_eyes', 'yellowish_skin', 'loss_of_appetite', 'stomach_pain'})",0.07317073170731707,0.12195121951219512,0.07317073170731707,1.0,8.200000000000001,1.0,0.06424747174301011,inf,0.9473684210526315,0.5999999999999999,1.0,0.8
"frozenset({'yellowish_skin', 'dark_urine', 'nausea'})","frozenset({'yellowing_of_eyes', 'joint_pain', 'loss_of_appetite', 'stomach_pain'})",0.07317073170731707,0.07317073170731707,0.07317073170731707,1.0,13.666666666666668,1.0,0.06781677572873289,inf,0.9999999999999998,1.0,1.0,1.0
frozenset({'phlegm'}),"frozenset({'malaise', 'chills', 'cough'})",0.07317073170731707,0.07317073170731707,0.07317073170731707,1.0,13.666666666666668,1.0,0.06781677572873289,inf,0.9999999999999998,1.0,1.0,1.0
